Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: ImageLeft,Spreadsheet: ImageRight,Spreadsheet: ImageCentre,Spreadsheet: TextLeft,Spreadsheet: TextRight,Spreadsheet: TextCentre,Spreadsheet: Answer,Spreadsheet: OrLeft,Spreadsheet: OrRight,Spreadsheet: metadata,Spreadsheet: metadata2,Spreadsheet: randomize_superBlock,Manipulation: Spreadsheet
1,1689093425429,11/07/2023 16:37:05,1689079025429,-4,11/07/2023 08:37:05,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
2,1689093430652,11/07/2023 16:37:10,1689079030652,-4,11/07/2023 08:37:10,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,task description,Screen 1,6dy91m,1,continue,,5232.496999999999,5215.822,5232.496999999999,5232.496999999999,5215.822,5232.496999999999,1,5232.496999999999,0,0,,Space To Continue,Continue ,2,object-25,task description,,,,,,,,,,,,,,,
3,1689093430653,11/07/2023 16:37:10,1689079030653,-4,11/07/2023 08:37:10,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,task description,Screen 1,6dy91m,1,continue,,5232.496999999999,5215.822,5232.496999999999,5232.496999999999,5215.822,5232.496999999999,1,5232.496999999999,0,0,,Space To Continue,Continue ,2,object-25,task description,,,,,,,,,,,,,,,
4,1689093445995,11/07/2023 16:37:25,1689079045995,-4,11/07/2023 08:37:25,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,instructions,Screen 1,tpgynk,1,continue,,15361.075999991059,15347.705999999998,15361.075999991059,15361.075999991059,15347.705999999998,15361.075999991059,1,15361.075999991059,0,0,,Space To Continue,Continue ,2,object-28,instructions,,,,,,,,,,,,,,,
5,1689093446001,11/07/2023 16:37:26,1689079046001,-4,11/07/2023 08:37:26,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,instructions,Screen 1,tpgynk,1,continue,,15364.418999999998,15347.705999999998,15364.418999999998,15364.418999999998,15347.705999999998,15364.418999999998,1,15364.418999999998,0,0,,Space To Continue,Continue ,2,object-28,instructions,,,,,,,,,,,,,,,
6,1689093456115,11/07/2023 16:37:36,1689079056115,-4,11/07/2023 08:37:36,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,prepare1,Screen 1,6xowt1,1,continue,,10132.769999997021,10131.417000000001,10132.769999997021,10132.769999997021,10131.417000000001,10132.769999997021,1,10132.769999997021,0,0,,Space To Continue,space,8,object-41,prepare1,,,af00009_fg.png,wf00009_fg.png,,,,,,,,practice_images,,,
7,1689093456117,11/07/2023 16:37:36,1689079056117,-4,11/07/2023 08:37:36,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,prepare1,Screen 1,6xowt1,1,continue,,10135.36999999106,10131.417000000001,10135.36999999106,10135.36999999106,10131.417000000001,10135.36999999106,1,10135.36999999106,0,0,,Space To Continue,space,8,object-41,prepare1,,,af00009_fg.png,wf00009_fg.png,,,,,,,,practice_images,,,
8,1689093456788,11/07/2023 16:37:36,1689079056788,-4,11/07/2023 08:37:36,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,trials,Screen 1,9h6dqb,1,response,left,674.252999988079,666.5639999999985,674.252999988079,674.252999988079,666.5639999999985,674.252999988079,1,674.252999988079,0,0,,Keyboard Response,keyboard,10,object-73,trials,,1,af00009_fg.png,wf00009_fg.png,af00009_fg.png,,,,left,,,practice_images,,,
9,1689093457947,11/07/2023 16:37:37,1689079057947,-4,11/07/2023 08:37:37,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,1,trials,Screen 2,vtanvj,2,continue,,666.6259999999966,666.6259999999966,666.6259999999966,666.6259999999966,666.6259999999966,666.6259999999966,1,666.6259999999966,0,0,,Fixation Timing,Fixation,1,object-77,trials,,1,af00009_fg.png,wf00009_fg.png,af00009_fg.png,,,,left,,,practice_images,,,
10,1689093458424,11/07/2023 16:37:38,1689079058424,-4,11/07/2023 08:37:38,0,0,,,30612389,,9089067,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1366x768,1821x833,,Implicit Attitudes Test (IAT) - White/Asian - Str+Int+Dir (Clone),1,IAT_Design_STR-INT-DIR,2,trials,Screen 1,9h6dqb,1,response,left,477.35099999106023,466.52500000000146,477.35099999106023,477.35099999106023,466.52500000000146,477.35099999106023,1,477.35099999106023,0,0,,Keyboard Response,keyboard,10,object-73,trials,,1,af00009_fg.png,wf00009_fg.png,af00001_fg.png,,,,left,,,practice_images,,,
